# Time-averaged data for fix stress
# TimeStep c_thermo_press[1] c_thermo_press[2] c_thermo_press[3] c_thermo_press[4] c_thermo_press[5] c_thermo_press[6]
468000 39.6592 56.6555 -69.6057 51.754 -93.2666 -156.469
470000 60.8578 3.96254 -146.835 34.7449 -46.4304 21.8605
472000 26.2702 -63.6838 -4.09273 109.498 -58.9178 88.2333
474000 -8.88981 94.2824 79.4992 15.3478 -28.8093 -16.5064
476000 -143.558 -226.992 -92.9042 -113.161 39.9955 55.0767
478000 229.429 -39.8676 -89.2958 -91.846 -61.8568 -37.9363
480000 189.033 29.0078 -55.4796 63.4521 42.4348 45.5025
482000 -62.2553 10.0686 -109.235 91.1326 61.7469 110.895
484000 139.489 -30.1675 -173.751 -26.8075 -29.7673 76.1631
486000 75.9966 -72.0274 -48.3047 -32.7541 16.7714 51.9716
488000 72.6799 -4.8959 80.519 -12.0891 23.1728 -18.8743
490000 2.00182 -64.7958 198.839 -46.7027 45.0922 -30.5492
492000 -77.2226 9.0261 169.969 -31.2326 -26.8483 -17.7883
494000 -115.479 25.4755 4.03573 -26.9591 6.73106 -64.7435
496000 -152.017 181.578 -18.5787 -62.7766 75.1938 -6.26472
498000 -79.0539 73.524 -110.383 -53.7718 9.17945 -10.6246
500000 22.4573 120.871 -62.6277 -42.3154 -28.0883 1.11941
502000 -78.357 139.79 -78.855 -14.9675 -47.5011 -19.673
504000 33.6972 30.4436 -92.6523 -104.154 76.2543 27.141
506000 -165.049 22.7937 57.1308 -123.814 102.786 57.8846
508000 -68.7074 105.235 184.301 -174.325 31.556 16.0059
510000 -41.0645 78.6661 41.5753 -92.7007 0.902999 -107.212
512000 14.6705 -17.3154 -190.379 -72.171 -20.2252 -20.5746
514000 -86.8599 -13.9263 121.115 -98.7582 14.307 74.9261
516000 125.718 -133.663 -105.915 -97.2942 190.068 -19.8495
518000 121.168 -50.6666 83.7833 -194.411 -55.9672 -42.9144
520000 156.939 -48.4817 61.7877 -125.644 -28.6416 -37.3302
522000 31.3653 -161.15 -141.409 -8.43178 -54.3506 -38.0631
524000 153.531 -53.2313 16.7896 100.31 71.3186 -82.3283
526000 131.602 -93.7368 32.609 83.5207 33.1099 -157.956
528000 -0.858428 -256.175 -42.7427 89.7867 -29.3955 -91.1156
530000 -21.7855 -38.1769 149.843 198.84 -24.0253 15.6225
532000 58.8161 123.878 62.7096 50.6334 30.1188 16.3099
534000 -24.6119 113.345 -42.1254 -78.897 29.9985 83.3577
536000 -183.053 -25.8356 -73.5649 29.2378 18.7637 -57.1435
538000 -80.0255 106.824 -229.838 39.362 -29.3602 -26.4407
540000 -69.7406 75.0412 -69.9146 29.5697 15.1403 3.68952
542000 46.2512 57.4675 -7.80706 -31.802 8.8797 73.1995
544000 -115.538 120.81 43.7353 100.503 40.9517 -14.6017
546000 -69.3065 53.3222 -68.681 43.9221 193.732 -27.1423
548000 -16.317 -49.28 26.8529 30.9935 -75.3454 -5.32442
550000 -39.3654 77.8188 -33.2973 136.17 -42.9358 58.5305
552000 35.834 -97.7344 29.4136 38.252 23.3959 161.161
554000 13.8363 111.938 10.1823 57.2333 -45.6196 -28.5071
556000 112.25 -5.63964 -21.5078 74.1514 59.157 -46.8267
558000 -64.6246 17.424 -73.0233 97.9618 133.769 -80.5032
560000 -17.0874 161.367 13.7121 182.428 98.9195 -26.8931
562000 -154.373 187.248 -103.296 64.5769 31.9093 37.3833
564000 -108.948 111.124 -170.449 36.0472 83.1669 -25.5368
566000 115.794 97.7718 111.806 25.1388 72.2327 -52.0903
568000 -36.6265 -73.1539 -84.4832 -20.9229 63.1072 -41.5258
570000 -163.187 29.9677 -59.7555 -76.1818 3.17222 -18.8103
572000 -74.0367 96.1349 -81.5982 68.4863 64.4841 86.5055
574000 -0.942428 219.13 -94.0638 88.0102 39.0357 -78.4794
576000 57.3404 32.9814 -117.576 -25.2337 -4.12078 -51.3923
578000 177.779 44.462 10.3677 52.7098 -43.4707 -53.4053
580000 136.714 67.5766 -51.6361 128.026 74.4808 -14.978
582000 61.9758 134.249 -39.6044 55.9149 73.9823 67.731
584000 -138.395 67.4274 8.93942 18.7751 -90.2286 -3.01789
586000 -147.048 151.667 178.494 -37.7879 2.62886 -26.0316
588000 41.3138 161.396 -99.0116 -59.8543 60.3275 -6.69223
590000 49.2614 52.0243 -41.7928 -150.561 162.27 20.4434
592000 -17.095 18.0725 -125.052 -23.7945 86.1726 101.032
594000 -187.993 36.6363 -41.9482 -37.4562 62.5114 188.704
596000 -30.6439 112.038 9.29972 -87.0849 -42.9385 51.0134
598000 106.193 24.6945 142.756 -113.267 37.3724 133.176
600000 75.7143 67.7416 70.3509 -53.2043 73.358 111.852
602000 24.7927 19.3335 177.74 -96.4373 104.164 -21.8988
604000 29.5959 -205.304 -168.4 -52.6039 82.2576 -67.491
606000 -8.1566 47.2792 -82.3962 -93.0766 -8.81408 -11.3949
608000 16.354 154.156 -89.0533 -15.1916 -122.038 40.1482
