# Time-averaged data for fix vACFavg
# TimeStep c_vAutoCorrFxn[1] c_vAutoCorrFxn[2] c_vAutoCorrFxn[3] c_vAutoCorrFxn[4]
412000 9.30751e-09 -2.0381e-08 3.29196e-09 -7.78155e-09
414000 -2.49357e-09 -2.85325e-08 -2.18661e-08 -5.28921e-08
416000 -8.75506e-09 5.57829e-09 -2.1257e-08 -2.44337e-08
418000 1.25182e-08 2.61323e-08 -1.46776e-08 2.39729e-08
420000 -2.80595e-08 1.82747e-08 2.961e-08 1.98252e-08
422000 -1.05396e-08 -2.09181e-08 -7.96026e-09 -3.94179e-08
424000 -7.81017e-10 1.77052e-08 1.35498e-08 3.04739e-08
426000 1.0575e-08 2.36757e-08 -1.72863e-08 1.69644e-08
428000 1.77877e-08 -1.83548e-09 2.18797e-08 3.78319e-08
430000 1.68095e-08 -7.29993e-08 3.83295e-08 -1.78603e-08
432000 -1.00624e-09 2.14116e-09 -3.00502e-08 -2.89153e-08
434000 -3.70968e-09 3.49095e-08 4.44124e-08 7.56122e-08
436000 -3.36608e-08 -6.04246e-08 1.72235e-08 -7.68619e-08
438000 2.52083e-08 -7.41471e-09 -2.66242e-08 -8.83062e-09
440000 -2.48561e-09 -1.50985e-08 -1.42341e-08 -3.18182e-08
442000 -4.39159e-09 1.28345e-08 1.32381e-08 2.1681e-08
444000 -2.60431e-09 -1.38533e-08 4.35078e-09 -1.21068e-08
446000 2.20177e-08 -3.05027e-08 -1.32024e-08 -2.16875e-08
448000 3.74939e-08 2.47718e-08 -4.62463e-08 1.60193e-08
450000 -6.7571e-09 3.00221e-09 -1.03626e-08 -1.41175e-08
452000 -5.80828e-09 2.74049e-08 -1.70623e-08 4.53436e-09
454000 -9.7032e-09 8.84021e-09 3.89066e-08 3.80436e-08
456000 5.64386e-08 7.26255e-09 -1.15229e-08 5.21783e-08
458000 -2.31336e-08 5.13345e-08 1.66828e-08 4.48837e-08
460000 -2.85804e-08 -1.13609e-09 2.21268e-08 -7.58972e-09
462000 -4.21077e-09 2.49175e-08 -1.47881e-09 1.92279e-08
464000 6.26515e-10 1.83535e-09 -2.03376e-08 -1.78757e-08
466000 3.21583e-08 2.86027e-08 2.71137e-09 6.34724e-08
468000 1.19102e-08 4.61408e-09 6.44141e-09 2.29657e-08
470000 -1.83802e-08 -3.24532e-09 2.06185e-08 -1.00703e-09
472000 -1.96808e-08 -5.77234e-09 1.07224e-08 -1.47308e-08
474000 -4.55416e-08 1.31053e-08 2.45592e-08 -7.8772e-09
476000 2.62558e-08 2.14315e-09 4.07576e-08 6.91566e-08
478000 -2.14419e-08 -2.03239e-08 -5.27438e-09 -4.70402e-08
480000 -3.38248e-08 1.64959e-08 2.35048e-08 6.17594e-09
482000 2.90994e-09 -2.0522e-08 1.81024e-08 4.90377e-10
484000 2.25813e-08 5.56337e-08 -1.35316e-08 6.46834e-08
486000 1.65267e-08 2.00976e-08 -2.79083e-08 8.71597e-09
488000 -1.11914e-09 1.97243e-08 -4.39633e-08 -2.53582e-08
490000 3.6313e-08 -2.51657e-08 5.1791e-08 6.29382e-08
492000 -2.59466e-08 -1.45068e-08 -2.94713e-08 -6.99247e-08
494000 -1.83818e-08 1.38901e-09 -2.46866e-08 -4.16794e-08
496000 -2.78154e-08 1.99269e-08 5.07371e-09 -2.81476e-09
498000 -6.70019e-09 -4.64484e-08 -1.51044e-08 -6.8253e-08
500000 -6.52594e-09 -1.49897e-08 -5.23793e-09 -2.67536e-08
502000 -3.61569e-08 4.31937e-08 -5.02685e-08 -4.32316e-08
504000 1.01574e-08 -5.96189e-09 2.55077e-08 2.97031e-08
506000 -6.22127e-09 7.12433e-09 5.40675e-09 6.30981e-09
508000 -4.63129e-08 1.4641e-09 -3.95263e-08 -8.43751e-08
510000 3.69711e-09 -2.56465e-08 3.04939e-08 8.54454e-09
512000 1.70644e-08 2.78547e-08 -1.2937e-08 3.19821e-08
514000 -2.55565e-09 -6.43384e-08 -9.96953e-09 -7.68636e-08
