# Time-averaged data for fix avgstress
# TimeStep v_pxy v_pxz v_pyz v_pxx v_pyy v_pzz
304000 131.972 -88.9223 -10.1251 -47.8893 106.22 -58.3303
306000 31.3822 152.368 -79.0248 -83.6621 89.5849 -5.9228
308000 -68.8509 6.01994 30.8778 -25.0667 7.55281 17.5139
310000 129.27 92.1593 -28.2535 -29.3354 13.7497 15.5857
312000 183.955 27.5364 70.5486 4.52332 -4.83298 0.309662
314000 64.9919 62.4704 171.771 -116.074 75.7456 40.3286
316000 -23.7482 19.4137 88.2892 -166.894 17.8055 149.089
318000 205.912 -29.9795 -121.523 -185.625 85.2093 100.415
320000 134.123 -90.5317 -120.764 -158.755 24.6348 134.12
322000 11.7659 -162.795 -39.6895 -29.2129 -11.4847 40.6977
324000 34.326 -5.36643 -49.2913 22.1879 -142.174 119.986
326000 44.3175 -90.3527 -0.967902 15.6112 0.047721 -15.6589
328000 -145.414 -72.3273 -157.054 -21.0883 -4.24186 25.3302
330000 -53.5643 -64.3801 -23.9036 -37.043 -11.0329 48.076
332000 -49.6295 50.7348 -1.08125 -6.53541 -3.40947 9.94488
334000 -87.318 -29.57 15.8444 -122.613 93.7971 28.8155
336000 11.8636 49.6877 -146.206 -172.871 166.404 6.46746
338000 92.5955 130.102 -64.496 -98.4509 -4.55393 103.005
340000 5.7993 -119.255 -86.6034 -75.8598 55.0207 20.8391
342000 34.7512 -35.161 -82.3681 -35.0571 -5.31415 40.3712
344000 11.3856 -8.67138 -189.286 -24.3528 -20.4844 44.8373
346000 39.4546 0.709817 2.58241 -96.688 203.892 -107.204
348000 8.62164 -55.5058 6.7058 -24.2211 212.767 -188.546
350000 43.8395 9.43985 -9.25911 96.9002 86.7189 -183.619
352000 -15.6134 -51.8418 63.9208 -16.2637 31.6886 -15.425
354000 39.0543 -34.3975 93.6668 20.6281 -36.3679 15.7398
356000 -1.97813 -54.1523 96.638 112.775 -10.6815 -102.093
358000 -94.8514 119.845 -64.0616 67.2703 -81.0211 13.7508
360000 -15.9419 -19.792 -95.5337 53.188 59.9287 -113.117
362000 37.5453 -92.2965 -125.402 -38.6004 60.7181 -22.1176
364000 -20.2872 8.40715 22.1042 154.146 86.5025 -240.648
366000 -74.2623 -151.907 103.903 107.007 128.655 -235.662
368000 -73.1104 -247.161 -4.43866 -3.13447 113.379 -110.245
370000 -9.93786 -33.5086 28.1042 -9.03876 27.1674 -18.1286
372000 -49.2025 -24.5788 -21.6411 51.2965 24.1562 -75.4526
374000 -17.5132 -38.6536 -70.6303 24.3142 -119.068 94.7533
376000 52.0617 -102.504 -87.5131 65.4529 -146.945 81.4925
378000 59.8944 -34.0845 -7.60112 34.6618 64.7674 -99.4292
380000 -41.9332 38.3003 -30.0688 68.4963 94.5721 -163.068
382000 -90.72 7.74057 56.8836 87.2299 -81.1258 -6.10412
384000 -92.4908 -30.114 79.7181 147.29 25.6981 -172.988
386000 -62.0531 -24.9906 81.7286 132.139 -23.3343 -108.805
388000 46.2494 -25.1029 -26.7144 158.073 -118.276 -39.7978
390000 -111.575 2.62791 22.1938 92.2485 0.752288 -93.0008
392000 -113.644 -82.5105 -120.705 -103.938 95.2258 8.71172
394000 2.5726 -82.3248 43.5547 -114.808 204.888 -90.08
396000 -16.2543 -60.0363 57.482 -79.8801 21.8933 57.9868
398000 30.5047 -64.0505 60.6219 -143.58 -24.6326 168.213
400000 -85.0497 -49.3305 40.399 -18.782 30.9177 -12.1357
