# Time-averaged data for fix fixmsd
# TimeStep c_msd[4]
2062000 790.962
2064000 791.467
2066000 792.327
2068000 794.039
2070000 793.437
2072000 790.836
2074000 794.819
2076000 794.324
2078000 791.003
2080000 794.413
2082000 794.823
2084000 792.714
2086000 792.476
2088000 791.734
2090000 791.531
2092000 791.437
2094000 790.639
2096000 793.296
2098000 793.534
2100000 794.911
2102000 797.315
2104000 798.596
2106000 797.459
2108000 798.101
2110000 801.391
2112000 801.279
2114000 802.78
2116000 801.264
2118000 803.018
2120000 803.624
2122000 800.562
2124000 802.485
2126000 809.396
2128000 809.343
2130000 806.839
2132000 807.261
2134000 809.222
2136000 813.994
2138000 814.241
2140000 817.623
2142000 819.077
2144000 819.091
2146000 820.449
2148000 823.071
2150000 821.69
2152000 821.191
2154000 820.329
2156000 822.744
2158000 824.582
2160000 821.46
2162000 825.977
2164000 829.223
2166000 830.198
2168000 834.944
2170000 837.328
2172000 836.331
2174000 835.338
2176000 834.926
2178000 836.717
2180000 841.148
2182000 842.022
2184000 843.309
2186000 846.59
2188000 845.979
2190000 849.304
2192000 849.985
2194000 851.77
2196000 852.724
2198000 856.652
2200000 857.375
2202000 856.777
2204000 859.891
2206000 861.792
2208000 867.604
2210000 865.598
2212000 868.948
2214000 868.654
2216000 865.77
2218000 866.553
2220000 870.163
2222000 872.869
2224000 870.774
2226000 868.637
2228000 868.644
2230000 868.485
2232000 871.344
2234000 878.571
2236000 876.766
2238000 876.089
2240000 872.812
2242000 874.951
2244000 872.624
2246000 872.319
2248000 872.392
2250000 873.404
2252000 876.037
2254000 878.146
2256000 874.537
2258000 873.48
2260000 871.005
2262000 867.47
2264000 865.128
2266000 871.127
2268000 868.575
2270000 866.083
2272000 866.32
2274000 867.517
2276000 864.035
2278000 867.887
2280000 871.139
2282000 872.154
2284000 873.583
2286000 869.827
2288000 872.191
2290000 872.506
2292000 873.839
2294000 874.136
2296000 872.827
2298000 874.999
2300000 878.464
2302000 879.733
2304000 878.66
2306000 880.184
2308000 879.195
2310000 882.344
2312000 879.41
2314000 878.341
2316000 878.582
2318000 880.138
2320000 878.719
2322000 881.385
2324000 881.312
2326000 882.192
2328000 883.163
2330000 881.433
2332000 881.035
2334000 883
2336000 884.451
2338000 884.254
2340000 884.658
2342000 883.968
2344000 886.939
2346000 887.234
2348000 888.055
2350000 885.967
2352000 892.062
2354000 890.585
2356000 890.888
2358000 888.017
2360000 887.387
2362000 884.744
2364000 885.435
2366000 885.709
2368000 883.68
2370000 883.639
2372000 885.309
2374000 887.02
2376000 886.996
2378000 888.882
2380000 890.899
2382000 888.894
2384000 886.408
2386000 890.161
2388000 889.897
2390000 894.416
2392000 896.97
2394000 897.388
2396000 899.299
2398000 900.915
2400000 900.113
2402000 903.076
2404000 900.415
2406000 898.083
2408000 897.568
2410000 899.288
2412000 900.745
2414000 902.302
2416000 898.806
2418000 899.458
2420000 897.27
2422000 902.694
2424000 902.934
2426000 903.155
2428000 904.678
2430000 904.96
2432000 903.952
2434000 902.064
2436000 901.191
2438000 901.751
2440000 904.986
2442000 910.46
2444000 914.818
2446000 919.655
2448000 925.623
2450000 922.047
2452000 920.71
2454000 919.753
2456000 921.357
2458000 924.178
2460000 924.157
2462000 923.405
2464000 926.197
2466000 928.113
2468000 931.323
2470000 932.201
2472000 930.14
2474000 931.175
2476000 931.545
2478000 928.498
2480000 929.937
2482000 930.69
2484000 932.819
2486000 936.057
2488000 935.688
2490000 939.47
2492000 940.882
2494000 942.344
2496000 941.378
2498000 943.318
2500000 945.268
2502000 944.551
2504000 940.046
2506000 945.575
2508000 942.281
2510000 945.461
2512000 937.897
2514000 936.571
2516000 938.17
2518000 935.282
2520000 935.333
2522000 936.501
2524000 935.537
2526000 932.838
2528000 937.456
2530000 942.738
2532000 946.041
2534000 947.602
2536000 948.137
2538000 946.797
2540000 941.09
2542000 944.198
2544000 939.06
2546000 940.302
2548000 943.133
2550000 944.577
2552000 941.375
2554000 945.106
2556000 944.889
2558000 944.472
2560000 942.756
2562000 943.546
2564000 944.646
2566000 948.081
2568000 948.969
2570000 947.359
2572000 947.896
2574000 945.631
2576000 945.622
2578000 943.789
2580000 942.755
2582000 943.117
2584000 943.928
2586000 943.076
2588000 946.131
2590000 945.21
2592000 943.453
2594000 944.84
2596000 944.824
2598000 945.479
2600000 946.693
2602000 944.804
2604000 945.918
2606000 946.089
2608000 948.666
2610000 953.379
2612000 955.512
2614000 954.871
2616000 957.159
2618000 958.381
2620000 961.07
2622000 960.59
2624000 965.592
2626000 966.043
2628000 970.031
2630000 971.767
2632000 974.583
2634000 972.412
2636000 975.792
2638000 972.989
2640000 975.196
2642000 977.568
2644000 976.668
2646000 979.091
2648000 975.242
2650000 976.417
2652000 976.564
2654000 980.077
2656000 984.051
2658000 982.047
2660000 985.674
2662000 986.322
2664000 986.569
2666000 990.153
2668000 998.103
2670000 996.131
2672000 997.526
2674000 997.865
