# Time-averaged data for fix avgdeltasq
# TimeStep v_deltasqxy v_deltasqxz v_deltasqyz v_deltasqxx v_deltasqyy v_deltasqzz
408000 9.93001e+10 9.67387e+10 8.45015e+10 1.11219e+11 9.85244e+10 1.01783e+11
410000 9.88216e+10 9.65112e+10 8.41747e+10 1.11881e+11 9.83171e+10 1.01621e+11
412000 9.91623e+10 9.6045e+10 8.39157e+10 1.11704e+11 9.80797e+10 1.01143e+11
414000 9.94731e+10 9.68706e+10 8.35128e+10 1.12353e+11 9.83367e+10 1.00712e+11
416000 9.90208e+10 9.78275e+10 8.31362e+10 1.12063e+11 9.80959e+10 1.00231e+11
418000 9.93973e+10 9.76734e+10 8.27572e+10 1.11744e+11 9.78263e+10 9.97539e+10
420000 1.00555e+11 9.7615e+10 8.37336e+10 1.12256e+11 9.73984e+10 1.00744e+11
422000 1.00123e+11 9.71648e+10 8.38884e+10 1.11848e+11 9.72573e+10 1.01102e+11
424000 9.9942e+10 9.68799e+10 8.35956e+10 1.11379e+11 9.68207e+10 1.00771e+11
426000 9.95564e+10 9.64285e+10 8.32316e+10 1.10859e+11 9.66187e+10 1.00572e+11
428000 9.91172e+10 9.65965e+10 8.58433e+10 1.10725e+11 9.6196e+10 1.0031e+11
430000 9.884e+10 9.61554e+10 8.62884e+10 1.10243e+11 9.5884e+10 9.98831e+10
432000 9.84752e+10 9.58863e+10 8.62499e+10 1.10597e+11 9.57882e+10 9.95386e+10
434000 9.80661e+10 9.54541e+10 8.58692e+10 1.10207e+11 9.5431e+10 9.90852e+10
436000 9.79094e+10 9.51243e+10 8.55244e+10 1.09705e+11 9.50154e+10 9.86626e+10
438000 9.74811e+10 9.5705e+10 8.51462e+10 1.10336e+11 9.47869e+10 9.85886e+10
440000 9.72022e+10 9.66902e+10 8.50181e+10 1.10105e+11 9.43632e+10 9.84909e+10
442000 9.70375e+10 9.6527e+10 8.4772e+10 1.11666e+11 9.42883e+10 9.87569e+10
444000 9.66033e+10 9.69136e+10 8.44008e+10 1.11953e+11 9.4025e+10 9.85521e+10
446000 9.67567e+10 9.67708e+10 8.4028e+10 1.11779e+11 9.39603e+10 9.94733e+10
448000 9.63424e+10 9.66941e+10 8.47214e+10 1.11545e+11 9.37588e+10 9.90335e+10
450000 9.64956e+10 9.70529e+10 8.51366e+10 1.12658e+11 9.38179e+10 9.89308e+10
452000 9.60901e+10 9.71853e+10 8.56318e+10 1.13814e+11 9.41109e+10 9.86929e+10
454000 9.63074e+10 9.68283e+10 8.55696e+10 1.1364e+11 9.38436e+10 9.91664e+10
456000 9.75558e+10 9.67043e+10 8.6161e+10 1.13368e+11 9.4312e+10 9.89492e+10
458000 9.73924e+10 9.64213e+10 8.58826e+10 1.13042e+11 9.44845e+10 9.86441e+10
460000 9.73911e+10 9.62042e+10 8.55573e+10 1.12794e+11 9.46906e+10 9.83032e+10
462000 9.71075e+10 9.59656e+10 8.52045e+10 1.13297e+11 9.50645e+10 9.78916e+10
464000 9.78089e+10 9.60014e+10 8.48691e+10 1.13597e+11 9.46886e+10 9.79718e+10
466000 9.7435e+10 9.55962e+10 8.62284e+10 1.13777e+11 9.56484e+10 9.76769e+10
468000 9.72027e+10 9.57817e+10 8.75284e+10 1.13342e+11 9.53579e+10 9.7576e+10
470000 9.68727e+10 9.5522e+10 8.71899e+10 1.13257e+11 9.50036e+10 9.78886e+10
472000 9.72734e+10 9.53533e+10 8.73476e+10 1.1286e+11 9.47286e+10 9.74804e+10
474000 9.68805e+10 9.50084e+10 8.69989e+10 1.12592e+11 9.44085e+10 9.71011e+10
476000 9.73324e+10 9.4718e+10 8.6838e+10 1.12127e+11 9.42775e+10 9.68853e+10
478000 9.74892e+10 9.45784e+10 8.65721e+10 1.1358e+11 9.41532e+10 9.72346e+10
480000 9.7352e+10 9.43055e+10 8.63503e+10 1.14014e+11 9.37941e+10 9.74299e+10
482000 9.74988e+10 9.41679e+10 8.68066e+10 1.13547e+11 9.36088e+10 9.71797e+10
484000 9.71449e+10 9.38387e+10 8.68313e+10 1.14359e+11 9.32273e+10 9.79248e+10
486000 9.68171e+10 9.34726e+10 8.66526e+10 1.14296e+11 9.30065e+10 9.75788e+10
488000 9.64315e+10 9.31261e+10 8.63221e+10 1.13856e+11 9.27714e+10 9.72278e+10
490000 9.61814e+10 9.28798e+10 8.60319e+10 1.13484e+11 9.29861e+10 9.79818e+10
492000 9.58552e+10 9.25505e+10 8.57041e+10 1.13625e+11 9.26397e+10 9.84843e+10
494000 9.55155e+10 9.21802e+10 8.5629e+10 1.13532e+11 9.2408e+10 9.81389e+10
496000 9.53852e+10 9.21733e+10 8.52876e+10 1.14244e+11 9.35624e+10 9.77686e+10
498000 9.51887e+10 9.181e+10 8.49537e+10 1.13865e+11 9.3792e+10 9.76246e+10
500000 9.49236e+10 9.14946e+10 8.46153e+10 1.13413e+11 9.38405e+10 9.76189e+10
502000 9.45611e+10 9.12747e+10 8.43041e+10 1.13213e+11 9.44776e+10 9.74856e+10
504000 9.48734e+10 9.12817e+10 8.40175e+10 1.12854e+11 9.41798e+10 9.74282e+10
506000 9.54656e+10 9.15878e+10 8.38978e+10 1.13292e+11 9.39327e+10 9.739e+10
508000 9.6998e+10 9.12911e+10 8.35848e+10 1.13801e+11 9.36114e+10 9.75847e+10
510000 9.71562e+10 9.09346e+10 8.39767e+10 1.1357e+11 9.33739e+10 9.72143e+10
512000 9.71024e+10 9.06062e+10 8.36763e+10 1.1342e+11 9.31138e+10 9.75778e+10
514000 9.73309e+10 9.02677e+10 8.37001e+10 1.13388e+11 9.27728e+10 9.78076e+10
516000 9.75399e+10 9.21509e+10 8.34013e+10 1.14191e+11 9.2839e+10 9.7644e+10
518000 9.94906e+10 9.19893e+10 8.31939e+10 1.13976e+11 9.29631e+10 9.73168e+10
520000 1.00077e+11 9.16871e+10 8.29606e+10 1.14001e+11 9.3116e+10 9.69451e+10
522000 9.96995e+10 9.15176e+10 8.27324e+10 1.14245e+11 9.29899e+10 9.66942e+10
524000 9.99326e+10 9.1479e+10 8.28302e+10 1.14409e+11 9.30247e+10 9.63491e+10
526000 9.99768e+10 9.11989e+10 8.40285e+10 1.14507e+11 9.3297e+10 9.5988e+10
528000 1.00086e+11 9.0907e+10 8.42127e+10 1.14519e+11 9.40504e+10 9.57738e+10
530000 1.02088e+11 9.05999e+10 8.39108e+10 1.14209e+11 9.39063e+10 9.60621e+10
532000 1.01859e+11 9.0315e+10 8.36125e+10 1.13805e+11 9.36342e+10 9.57187e+10
534000 1.01851e+11 9.00317e+10 8.37153e+10 1.13453e+11 9.37131e+10 9.55104e+10
536000 1.01523e+11 8.97179e+10 8.35983e+10 1.13384e+11 9.3573e+10 9.51743e+10
