# Time-averaged data for fix avgdeltasq
# TimeStep v_deltasqxy v_deltasqxz v_deltasqyz v_deltasqxx v_deltasqyy v_deltasqzz
358000 1.13327e+11 8.35068e+10 9.40353e+10 1.10995e+11 1.01397e+11 1.17398e+11
360000 1.1272e+11 8.30809e+10 9.35252e+10 1.10477e+11 1.00916e+11 1.1675e+11
362000 1.12232e+11 8.34306e+10 9.31772e+10 1.09901e+11 1.00487e+11 1.16391e+11
364000 1.125e+11 8.36286e+10 9.28231e+10 1.09353e+11 1.00212e+11 1.15842e+11
366000 1.12563e+11 8.36953e+10 9.42673e+10 1.09049e+11 1.00012e+11 1.1648e+11
368000 1.12636e+11 8.3988e+10 9.70875e+10 1.0943e+11 9.97324e+10 1.18089e+11
370000 1.14575e+11 8.42109e+10 9.7203e+10 1.0973e+11 9.92532e+10 1.1795e+11
372000 1.14777e+11 8.41975e+10 9.90629e+10 1.09304e+11 9.9269e+10 1.1862e+11
374000 1.15014e+11 8.43862e+10 9.86026e+10 1.08751e+11 9.88368e+10 1.18009e+11
376000 1.15015e+11 8.45782e+10 9.8155e+10 1.08857e+11 9.97608e+10 1.17527e+11
378000 1.17151e+11 8.47344e+10 9.7644e+10 1.09138e+11 1.04927e+11 1.19044e+11
380000 1.17063e+11 8.43629e+10 9.71639e+10 1.08603e+11 1.04389e+11 1.18508e+11
382000 1.17169e+11 8.40256e+10 9.70582e+10 1.0833e+11 1.04103e+11 1.17892e+11
384000 1.17843e+11 8.36108e+10 9.67474e+10 1.08389e+11 1.03661e+11 1.17508e+11
386000 1.17506e+11 8.31932e+10 9.63083e+10 1.07875e+11 1.03127e+11 1.16951e+11
388000 1.18853e+11 8.27776e+10 9.60259e+10 1.08057e+11 1.03274e+11 1.16353e+11
390000 1.18567e+11 8.23696e+10 9.602e+10 1.07974e+11 1.0281e+11 1.15947e+11
392000 1.18473e+11 8.21773e+10 9.57048e+10 1.08135e+11 1.02305e+11 1.15865e+11
394000 1.17982e+11 8.39162e+10 9.52233e+10 1.08615e+11 1.01814e+11 1.1601e+11
396000 1.17395e+11 8.36129e+10 9.50537e+10 1.08271e+11 1.0204e+11 1.15596e+11
398000 1.16808e+11 8.32146e+10 9.47405e+10 1.10034e+11 1.0195e+11 1.15774e+11
400000 1.16674e+11 8.28006e+10 9.54527e+10 1.0972e+11 1.01867e+11 1.15226e+11
402000 1.16221e+11 8.23907e+10 9.68552e+10 1.09608e+11 1.02435e+11 1.14799e+11
404000 1.15656e+11 8.20641e+10 9.70939e+10 1.11375e+11 1.03152e+11 1.14405e+11
406000 1.15526e+11 8.17946e+10 9.69023e+10 1.10875e+11 1.04571e+11 1.15225e+11
408000 1.15157e+11 8.14189e+10 9.64906e+10 1.10554e+11 1.05884e+11 1.15438e+11
410000 1.14624e+11 8.1056e+10 9.93872e+10 1.10539e+11 1.06776e+11 1.15093e+11
412000 1.1413e+11 8.08304e+10 9.89073e+10 1.10136e+11 1.08433e+11 1.17909e+11
414000 1.13615e+11 8.05751e+10 9.92767e+10 1.097e+11 1.11177e+11 1.19597e+11
416000 1.13842e+11 8.0216e+10 9.89605e+10 1.09469e+11 1.10761e+11 1.19066e+11
418000 1.14171e+11 8.10349e+10 9.87004e+10 1.09103e+11 1.10535e+11 1.18523e+11
420000 1.16487e+11 8.07061e+10 9.85828e+10 1.0859e+11 1.10058e+11 1.18041e+11
422000 1.16393e+11 8.03276e+10 1.00735e+11 1.08288e+11 1.11597e+11 1.18437e+11
424000 1.16564e+11 8.02531e+10 1.00647e+11 1.07869e+11 1.11547e+11 1.18855e+11
426000 1.16371e+11 8.05116e+10 1.02262e+11 1.08679e+11 1.11078e+11 1.20192e+11
428000 1.15851e+11 8.02397e+10 1.04345e+11 1.09065e+11 1.11118e+11 1.19672e+11
430000 1.15578e+11 8.18599e+10 1.03962e+11 1.08609e+11 1.10723e+11 1.19437e+11
432000 1.15903e+11 8.14973e+10 1.0431e+11 1.08716e+11 1.10457e+11 1.18968e+11
434000 1.15513e+11 8.25559e+10 1.06136e+11 1.08234e+11 1.09953e+11 1.18428e+11
436000 1.15126e+11 8.36152e+10 1.06602e+11 1.07873e+11 1.09499e+11 1.17909e+11
438000 1.14624e+11 8.43554e+10 1.07208e+11 1.07693e+11 1.09503e+11 1.17396e+11
440000 1.14542e+11 8.46465e+10 1.06968e+11 1.08723e+11 1.11031e+11 1.16901e+11
442000 1.14356e+11 8.45464e+10 1.06782e+11 1.08544e+11 1.10531e+11 1.16666e+11
444000 1.13933e+11 8.4308e+10 1.06311e+11 1.1016e+11 1.10305e+11 1.17011e+11
446000 1.13432e+11 8.43371e+10 1.0586e+11 1.11259e+11 1.10628e+11 1.16616e+11
448000 1.12932e+11 8.41829e+10 1.0546e+11 1.10874e+11 1.10691e+11 1.16268e+11
450000 1.12634e+11 8.38146e+10 1.04994e+11 1.11298e+11 1.10619e+11 1.1585e+11
452000 1.13397e+11 8.41707e+10 1.04566e+11 1.10873e+11 1.10156e+11 1.15509e+11
454000 1.13142e+11 8.3851e+10 1.04319e+11 1.10731e+11 1.10479e+11 1.15098e+11
456000 1.12708e+11 8.36867e+10 1.04364e+11 1.10615e+11 1.10027e+11 1.15203e+11
458000 1.13928e+11 8.3356e+10 1.04457e+11 1.10176e+11 1.09902e+11 1.15342e+11
460000 1.15104e+11 8.34893e+10 1.04089e+11 1.09713e+11 1.09447e+11 1.1491e+11
462000 1.15454e+11 8.3233e+10 1.03723e+11 1.09285e+11 1.09148e+11 1.14457e+11
464000 1.15177e+11 8.35704e+10 1.03278e+11 1.11102e+11 1.09163e+11 1.14633e+11
466000 1.14888e+11 8.35466e+10 1.02989e+11 1.12939e+11 1.08836e+11 1.15459e+11
468000 1.15052e+11 8.31934e+10 1.0258e+11 1.12592e+11 1.08466e+11 1.14971e+11
470000 1.14648e+11 8.29206e+10 1.02153e+11 1.1214e+11 1.08041e+11 1.14604e+11
472000 1.1447e+11 8.25946e+10 1.0209e+11 1.11902e+11 1.07667e+11 1.14714e+11
474000 1.15255e+11 8.23165e+10 1.02131e+11 1.11447e+11 1.09155e+11 1.16532e+11
476000 1.14858e+11 8.1979e+10 1.01969e+11 1.10981e+11 1.08702e+11 1.1605e+11
478000 1.14548e+11 8.17874e+10 1.01551e+11 1.10526e+11 1.08884e+11 1.16077e+11
480000 1.14075e+11 8.20654e+10 1.01215e+11 1.10868e+11 1.08754e+11 1.15703e+11
482000 1.1433e+11 8.18312e+10 1.00806e+11 1.10431e+11 1.08787e+11 1.15526e+11
484000 1.14218e+11 8.17281e+10 1.00411e+11 1.09978e+11 1.0871e+11 1.1546e+11
486000 1.14003e+11 8.14313e+10 1.00129e+11 1.10806e+11 1.09008e+11 1.15059e+11
488000 1.15976e+11 8.12168e+10 9.98822e+10 1.11235e+11 1.10403e+11 1.14764e+11
490000 1.16466e+11 8.08875e+10 9.98322e+10 1.11972e+11 1.11046e+11 1.143e+11
492000 1.16076e+11 8.07092e+10 9.99428e+10 1.12871e+11 1.11506e+11 1.13881e+11
494000 1.17654e+11 8.04053e+10 1.0073e+11 1.12632e+11 1.12283e+11 1.13834e+11
496000 1.17268e+11 8.06279e+10 1.00726e+11 1.12377e+11 1.12801e+11 1.13668e+11
498000 1.16819e+11 8.28694e+10 1.00596e+11 1.12907e+11 1.13801e+11 1.1326e+11
500000 1.17009e+11 8.44397e+10 1.00216e+11 1.13265e+11 1.14214e+11 1.12809e+11
502000 1.17288e+11 8.43243e+10 1.0028e+11 1.12913e+11 1.15144e+11 1.13108e+11
504000 1.17437e+11 8.40075e+10 9.98841e+10 1.12525e+11 1.15311e+11 1.12962e+11
506000 1.16978e+11 8.43683e+10 9.95003e+10 1.12512e+11 1.15064e+11 1.13751e+11
508000 1.16541e+11 8.40473e+10 9.91946e+10 1.12223e+11 1.14723e+11 1.13824e+11
510000 1.16088e+11 8.37235e+10 9.88083e+10 1.11926e+11 1.14554e+11 1.14197e+11
512000 1.15719e+11 8.38679e+10 9.88652e+10 1.11832e+11 1.14406e+11 1.13754e+11
514000 1.15356e+11 8.4096e+10 9.84977e+10 1.11551e+11 1.13969e+11 1.13408e+11
516000 1.15709e+11 8.4806e+10 9.81415e+10 1.12743e+11 1.13549e+11 1.14976e+11
518000 1.15265e+11 8.68003e+10 9.8039e+10 1.12682e+11 1.13122e+11 1.15031e+11
520000 1.14841e+11 8.81269e+10 9.81716e+10 1.12484e+11 1.12854e+11 1.14596e+11
522000 1.14498e+11 8.88823e+10 9.81663e+10 1.12168e+11 1.12526e+11 1.14159e+11
524000 1.15038e+11 8.97414e+10 9.77931e+10 1.11924e+11 1.12124e+11 1.1407e+11
526000 1.15367e+11 8.96385e+10 9.8397e+10 1.11578e+11 1.12535e+11 1.14042e+11
528000 1.16801e+11 8.93151e+10 9.81908e+10 1.11198e+11 1.12486e+11 1.1378e+11
530000 1.16422e+11 8.91385e+10 9.80825e+10 1.11055e+11 1.12139e+11 1.13993e+11
532000 1.15988e+11 8.91493e+10 9.77912e+10 1.10669e+11 1.13629e+11 1.15982e+11
534000 1.15556e+11 8.98617e+10 9.7918e+10 1.11039e+11 1.13583e+11 1.17797e+11
536000 1.15326e+11 9.04703e+10 9.76748e+10 1.11352e+11 1.13168e+11 1.18242e+11
