# Time-averaged data for fix vACFavg
# TimeStep c_vAutoCorrFxn[1] c_vAutoCorrFxn[2] c_vAutoCorrFxn[3] c_vAutoCorrFxn[4]
694000 -7.63904e-09 5.33686e-08 -3.34996e-08 1.223e-08
696000 2.82697e-08 2.65708e-08 1.03149e-08 6.51555e-08
698000 -1.54812e-08 -1.74439e-08 5.75945e-09 -2.71657e-08
700000 2.62954e-08 -3.18244e-08 -2.55518e-08 -3.10808e-08
702000 3.09818e-08 5.42941e-08 6.13364e-08 1.46612e-07
704000 3.04571e-08 -2.16744e-08 -3.08985e-08 -2.21157e-08
706000 9.48468e-11 -6.60111e-09 -2.81387e-09 -9.32013e-09
708000 1.09097e-08 -6.08958e-09 -4.22205e-09 5.98026e-10
710000 2.12143e-08 4.12066e-09 -1.38734e-08 1.14615e-08
712000 9.6541e-09 7.10728e-09 -1.63418e-09 1.51272e-08
714000 -2.71987e-08 6.21466e-08 -2.31317e-08 1.18162e-08
716000 3.82301e-09 3.34521e-08 -2.69013e-08 1.03738e-08
718000 1.18749e-08 3.2781e-08 2.30444e-08 6.77003e-08
720000 -1.08543e-08 -2.648e-08 -2.8853e-09 -4.02196e-08
722000 -5.10539e-09 3.50104e-09 -3.6374e-08 -3.79784e-08
724000 2.13789e-08 -2.17444e-08 4.51382e-08 4.47726e-08
726000 -2.59971e-08 1.67523e-08 1.57447e-08 6.49985e-09
728000 -1.83218e-08 -1.49435e-08 -2.3291e-08 -5.65563e-08
730000 -7.11503e-10 -3.22568e-08 -7.07415e-10 -3.36757e-08
732000 3.58108e-08 4.02985e-08 1.91278e-08 9.52371e-08
734000 -1.03957e-09 3.69583e-08 1.28552e-09 3.72042e-08
736000 1.40913e-08 -1.73171e-08 1.95208e-08 1.62949e-08
738000 -6.19029e-08 2.12013e-08 -3.77462e-08 -7.84479e-08
